yr_cde,trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,crs_capacity,crs_enrollment,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name,preferred_name,comment_txt
2018,10,ABRD,300,A,STUDY ABROAD,0,50,16,,,,,,,,Johnson,Lois,,
2018,10,ACCT,201,A,PRINCIPLES OF ACCOUNTING I,3,28,28,M,,W,,F,8:00:00 AM,8:50:00 AM,McFeaters,Michelle,,
2018,10,ACCT,201,A,PRINCIPLES OF ACCOUNTING I,3,28,28,,,,R,,4:00:00 PM,5:50:00 PM,McFeaters,Michelle,,
2018,10,ACCT,201,B,PRINCIPLES OF ACCOUNTING I,3,28,31,M,,W,,F,11:00:00 AM,11:50:00 AM,Stone,Jennifer,Nicole,
2018,10,ACCT,201,B,PRINCIPLES OF ACCOUNTING I,3,28,31,M,,,,,4:00:00 PM,5:50:00 PM,Stone,Jennifer,Nicole,
2018,10,ACCT,201,C,PRINCIPLES OF ACCOUNTING I,3,28,28,M,,W,,F,12:00:00 PM,12:50:00 PM,Stone,Jennifer,Nicole,
2018,10,ACCT,201,C,PRINCIPLES OF ACCOUNTING I,3,28,28,M,,,,,4:00:00 PM,5:50:00 PM,Stone,Jennifer,Nicole,
2018,10,ACCT,201,D,PRINCIPLES OF ACCOUNTING I,3,28,29,M,,W,,F,1:00:00 PM,1:50:00 PM,Russin,Amy,,
2018,10,ACCT,201,D,PRINCIPLES OF ACCOUNTING I,3,28,29,,,W,,,4:00:00 PM,5:50:00 PM,Russin,Amy,,
2018,10,ACCT,201,E,PRINCIPLES OF ACCOUNTING I,3,28,29,M,,W,,F,2:00:00 PM,2:50:00 PM,Russin,Amy,,
2018,10,ACCT,201,E,PRINCIPLES OF ACCOUNTING I,3,28,29,,,W,,,4:00:00 PM,5:50:00 PM,Russin,Amy,,
2018,10,ACCT,201,F,PRINCIPLES OF ACCOUNTING I,3,28,29,M,,W,,F,3:00:00 PM,3:50:00 PM,Russin,Amy,,
2018,10,ACCT,201,F,PRINCIPLES OF ACCOUNTING I,3,28,29,,,W,,,4:00:00 PM,5:50:00 PM,Russin,Amy,,
2018,10,ACCT,301,A,INTERMEDIATE ACCOUNTING I,3,26,28,M,,W,,F,10:00:00 AM,10:50:00 AM,Baglia,David,,ACCT 202
2018,10,ACCT,301,A,INTERMEDIATE ACCOUNTING I,3,26,28,,,,R,,4:00:00 PM,5:50:00 PM,Baglia,David,,
2018,10,ACCT,301,B,INTERMEDIATE ACCOUNTING I,3,26,26,M,,W,,F,11:00:00 AM,11:50:00 AM,Baglia,David,,ACCT 202
2018,10,ACCT,301,B,INTERMEDIATE ACCOUNTING I,3,26,26,,,,R,,4:00:00 PM,5:50:00 PM,Baglia,David,,
2018,10,ACCT,303,A,COST ACCOUNTING,3,35,35,,T,,R,,8:00:00 AM,9:15:00 AM,McFeaters,Michelle,,ACCT 202; JR STANDING
2018,10,ACCT,390,A,STUDY: ANALYSIS FINANCIAL STATEMNTS,2,18,17,,T,,R,,10:05:00 AM,10:55:00 AM,Baglia,David,,ACCT 301
2018,10,ACCT,401,A,ADVANCED ACCOUNTING I,3,20,18,,T,,R,,10:05:00 AM,11:20:00 AM,Stone,Jennifer,Nicole,ACCT 302
2018,10,ACCT,401,B,ADVANCED ACCOUNTING I,3,24,20,,T,,R,,11:30:00 AM,12:45:00 PM,Stone,Jennifer,Nicole,ACCT 302
2018,10,ACCT,403,A,AUDITING,3,28,29,,T,,R,,1:00:00 PM,2:15:00 PM,Russin,Amy,,"ACCT 302, 321"
2018,10,ACCT,405,A,TAX ACCOUNTING,3,30,32,,T,,,,6:30:00 PM,9:00:00 PM,Snyder,Richard,,ACCT 202;SR STANDING
2018,10,ART,101,A,DRAWING,3,15,16,M,,W,,,10:00:00 AM,10:50:00 AM,Sanders,Glen,,
2018,10,ART,103,A,BEGINNING HAND BUILDING,3,15,12,,T,,R,,1:00:00 PM,2:15:00 PM,Rhoades,Kathy,,FEE REQUIRED
2018,10,ART,104,A,BEGINNING WHEEL THROWING,3,12,11,,T,,R,,10:05:00 AM,11:20:00 AM,Rhoades,Kathy,,FEE REQUIRED
2018,10,ART,104,B,BEGINNING WHEEL THROWING,3,12,12,,T,,R,,2:30:00 PM,3:45:00 PM,Rhoades,Kathy,,FEE REQUIRED
2018,10,ART,111,A,SCULPTURE,3,12,12,,,W,,,3:00:00 PM,5:30:00 PM,Rhoades,Kathy,,FEE REQUIRED
2018,10,ART,121,A,BEGINNING PRINTMAKING,3,15,14,,,W,,,6:30:00 PM,9:00:00 PM,Mucha,Nathanael,Nate,FEE REQUIRED
2018,10,ART,201,A,HIST & APPREC OF ART I,3,25,14,,T,,R,,10:05:00 AM,11:20:00 AM,Drake,Joshua,,HUMA 301
2018,10,ART,321,A,TEACHING ELEMENTARY ART,1,20,15,,T,,,,4:00:00 PM,4:50:00 PM,Sanders,Glen,,EDUC 327/SOPH STATUS
2018,10,ART,390,A,STUDY: GALLERY STUDIES,3,15,5,,,W,,,3:00:00 PM,5:30:00 PM,Rhoades,Kathy,,
2018,10,ASTR,206,A,INTRO TO SKY MOTIONS & PLANETS,3,45,42,M,,W,,F,1:00:00 PM,1:50:00 PM,Clem,James,,
2018,10,ASTR,310,A,INTRODUCTION TO ASTROPHYSICS,3,20,9,,T,,R,,2:30:00 PM,3:45:00 PM,Clem,James,,"AS206, 207;PH 101,102,121,122"
2018,10,BIOL,101,A,GENERAL BIOLOGY I,4,75,76,M,,W,,F,9:00:00 AM,9:50:00 AM,Pazehoski,Kristina,,LAB FEE
2018,10,BIOL,101,B,GENERAL BIOLOGY I,4,75,69,M,,W,,F,10:00:00 AM,10:50:00 AM,Pazehoski,Kristina,,LAB FEE
2018,10,BIOL,101,L,LABORATORY,0,28,27,M,,,,,2:00:00 PM,4:59:00 PM,Shaw,Kevin,,LAB FEE
2018,10,BIOL,101,M,LABORATORY,0,28,29,,T,,,,10:05:00 AM,12:59:00 PM,Lytle,Laurie,,LAB FEE
2018,10,BIOL,101,N,LABORATORY,0,28,28,,T,,,,2:30:00 PM,5:29:00 PM,Strain,Joy,,LAB FEE
2018,10,BIOL,101,O,LABORATORY,0,28,25,,,W,,,2:00:00 PM,4:59:00 PM,Jenkins,Stephen,,LAB FEE
2018,10,BIOL,101,P,LABORATORY,0,28,13,,,,R,,10:05:00 AM,12:59:00 PM,Lytle,Laurie,,LAB FEE
2018,10,BIOL,101,Q,LABORATORY,0,28,23,,,,R,,2:30:00 PM,5:29:00 PM,Strain,Joy,,LAB FEE
2018,10,BIOL,233,A,GENETICS,4,40,39,M,,W,,F,10:00:00 AM,10:50:00 AM,Antoszewski,Lisa,,"BIOL 102 REQ, BIOL 322 CO-REQ"
2018,10,BIOL,233,B,GENETICS,4,40,16,M,,W,,F,12:00:00 PM,12:50:00 PM,Antoszewski,Lisa,,"BIOL 102 REQ, BIOL 322 CO-REQ"
2018,10,BIOL,233,L,RECITATION,0,20,20,,T,,,,1:00:00 PM,2:15:00 PM,Antoszewski,Lisa,,BIOL 322 CO-REQ
2018,10,BIOL,233,N,RECITATION,0,20,18,,T,,,,2:30:00 PM,3:45:00 PM,Antoszewski,Lisa,,BIOL 322 CO-REQ
2018,10,BIOL,233,O,RECITATION,0,20,17,,T,,,,11:30:00 AM,12:45:00 PM,Antoszewski,Lisa,,BIOL 322 CO-REQ
2018,10,BIOL,301,A,ADVANCED GENETICS,4,9,11,,T,,R,,10:05:00 AM,11:20:00 AM,Stauff,Devin,,"BIOL 233 AND 234, LAB FEE"
2018,10,BIOL,301,L,LABORATORY,0,9,11,,T,,R,,11:30:00 AM,12:45:00 PM,Stauff,Devin,,"BIOL 234, LAB FEE"
2018,10,BIOL,305,A,PLANT TAXONOMY,4,20,12,M,,W,,F,10:00:00 AM,10:50:00 AM,Dudt,Jan,,BIOL 234  LAB FEE
2018,10,BIOL,305,L,LABORATORY,0,20,12,,,W,,,2:00:00 PM,4:59:00 PM,Dudt,Jan,,LAB FEE
2018,10,BIOL,313,A,HISTOLOGY,3,20,20,,T,,R,,1:00:00 PM,2:15:00 PM,Farone,Tracy,,
2018,10,BIOL,331,A,ECOLOGY,4,24,7,,T,,R,,8:00:00 AM,9:15:00 AM,Brenner,Frederic,Fred,BIOL 234 LAB FEE
2018,10,BIOL,331,L,LABORATORY,0,24,7,M,,,,,2:00:00 PM,4:59:00 PM,Brenner,Frederic,Fred,BIOL 234  LAB FEE
2018,10,BIOL,341,A,HUMAN/MAMMALIAN ANATOMY,4,55,43,M,,W,,F,11:00:00 AM,11:50:00 AM,Farone,Tracy,,BIOL 234 LAB FEE
2018,10,BIOL,341,L,LABORATORY,0,18,17,M,,,,,2:00:00 PM,3:59:00 PM,Farone,Tracy,,LAB FEE
2018,10,BIOL,341,M,LABORATORY,0,18,16,,T,,,,3:00:00 PM,4:59:00 PM,Farone,Tracy,,LAB FEE
2018,10,BIOL,341,N,LABORATORY,0,19,10,,,W,,,2:00:00 PM,3:59:00 PM,Farone,Tracy,,LAB FEE
2018,10,BIOL,372,A,CONTEMPORARY TOPICS,1,8,9,,,W,,,1:00:00 PM,1:50:00 PM,Stauff,Devin,,BIOL 234
2018,10,BIOL,390,A,STUDY: ENV MICROBIOLOGY,2,20,2,,T,,R,,10:05:00 AM,10:55:00 AM,Brenner,Frederic,Fred,BIOL 102
2018,10,BIOL,403,A,BASIS OF WILDLIFE BEHAVIOR,3,25,21,M,,W,,F,8:00:00 AM,8:50:00 AM,Brenner,Frederic,Fred,BIOL 234
2018,10,BIOL,407,A,MICROBIOLOGY,4,40,34,,T,,R,,8:00:00 AM,9:15:00 AM,Stauff,Devin,,BIOL 234  LAB FEE
2018,10,BIOL,407,L,LABORATORY,0,20,17,,T,,R,,1:00:00 PM,2:30:00 PM,Stauff,Devin,,LAB FEE
2018,10,BIOL,407,L,LABORATORY,0,20,17,,T,,R,,1:00:00 PM,2:30:00 PM,Stauff,Devin,,LAB FEE
2018,10,BIOL,407,M,LABORATORY,0,20,17,,T,,R,,3:00:00 PM,4:30:00 PM,Stauff,Devin,,LAB FEE
2018,10,BIOL,407,M,LABORATORY,0,20,17,,T,,R,,3:00:00 PM,4:30:00 PM,Stauff,Devin,,LAB FEE
2018,10,BIOL,409,A,ENTOMOLOGY,4,20,17,M,,W,,F,9:00:00 AM,9:50:00 AM,Jenkins,Stephen,,"BIOL 234, LAB FEE"
2018,10,BIOL,409,L,LABORATORY,0,20,17,,,,R,,2:00:00 PM,4:59:00 PM,Jenkins,Stephen,,LAB FEE
2018,10,BIOL,488,A,SEMINAR IN BIOLOGY,1,13,13,,,,,F,2:00:00 PM,2:50:00 PM,Farone,Tracy,,SR STATUS
2018,10,BIOL,488,B,SEMINAR IN BIOLOGY,1,13,13,,,,,F,1:00:00 PM,1:50:00 PM,Dudt,Jan,,SR STATUS
2018,10,CHEM,101,A,GENERAL CHEMISTRY I,4,60,63,M,,W,,F,10:00:00 AM,10:50:00 AM,Augspurger,Joseph,Joe,LAB FEE
2018,10,CHEM,101,B,GENERAL CHEMISTRY I,4,60,73,M,,W,,F,11:00:00 AM,11:50:00 AM,Guevara,Holly,,LAB FEE
2018,10,CHEM,101,L,LABORATORY,0,30,35,,,W,,,2:00:00 PM,4:59:00 PM,Guevara,Holly,,LAB FEE
2018,10,CHEM,101,M,LABORATORY,0,30,37,,,,R,,10:05:00 AM,12:59:00 PM,Kriley,Charles,Chuck,LAB FEE
2018,10,CHEM,101,N,LABORATORY,0,30,31,,,,R,,2:30:00 PM,5:29:00 PM,Guevara,Holly,,LAB FEE
